0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0
0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	1	2	1	0	1	2	1	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	2	0	0
0	0	0	0	0	0	0	2	1	1	2	3	1	2	1	0	2	0	2	1	2	0	0	0
0	0	0	0	0	0	5	6	3	0	5	9	2	5	3	5	5	4	4	2	0	4	0	0
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	8	3	1	2	2	1	1	6	4	0	1	2	1	2	0	1	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	1	0	1	0	0
0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	1	0	1	0	2	0	2	0	0
0	0	0	0	0	0	0	1	3	2	2	2	2	4	1	1	3	1	1	2	2	1	0	0
0	0	0	0	0	0	0	3	4	2	2	4	5	4	1	2	4	1	1	1	2	1	0	0
0	0	0	0	0	0	1	0	0	3	2	0	1	1	2	0	0	2	0	0	1	1	0	0
0	0	0	0	0	0	9	13	4	7	10	12	6	4	9	12	7	8	7	8	2	4	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	1	1	0	0	2	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	1	0	1	0	0	0	0
0	0	0	0	0	0	0	1	2	2	0	1	2	0	1	1	1	1	1	0	1	1	0	0
0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
0	0	0	0	0	0	0	3	3	1	3	2	1	2	1	1	4	1	2	2	2	2	1	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
